listing_id,title,property_type,price_eur,price_per_m2,area_m2,rooms,bathrooms,floor,has_elevator,district,neighborhood,full_address,locality,latitude,longitude,description,has_terrace,has_balcony,has_parking,has_air_conditioning,has_swimming_pool,has_garden,energy_cert,construction_year,condition,advertiser_name,advertiser_type,photo_count,url,scrape_date,scrape_timestamp,province,antiguitat_anys,floor_num,energy_cert_ord,is_price_anomaly,is_rural,log_price_eur,log_price_per_m2,log_area_m2,dist_bcn_km,n_anuncis_locality
60087652328.1018,"Casa en venta en Carrer del Maresme, 5",Casa,369000.0,1493.93,247.0,5.0,3.0,,False,,Corbera de Llobregat,Corbera de Llobregat,Corbera de Llobregat,41.4291,1.90721,"En la urbanización de La Creu de Aragall, en Corbera de Llobregat, encontramos esta magnífica casa con piscina de 247 m2 construidos en el 1980 sobre una parcela de 1088 m2 según los datos ofrecidos por el catastro. La vivienda situada en zona tranquila y rodeada de naturaleza ofrece unas vistas increíbles. Dispone de 3 alturas más una buhardilla con la siguiente distribución: Planta Principal: En esta altura encontramos un salón/comedor con chimenea, cocina office totalmente equipada, una habit...",True,False,True,False,True,True,E,Entre 30 y 50 años,,VERVIVIENDAS.COM,Agencia,88.0,https://www.pisos.com/comprar/casa-corbera_de_llobregat_centro_urbano-60087652328_101800/,2026-04-05,2026-04-05 12:23:45.153203,Barcelona,40.0,2.0,3,False,False,12.818551923022664,7.309165510512077,5.5093883366279774,22.41878102275905,16
60842215167.100494,"Piso en venta en Carrer d'Olzinelles, cerca de Carrer de Sants",Piso,395000.0,5064.1,78.0,3.0,2.0,Bajo,True,Sants-Montjuïc,Sants,Sants (Distrito Sants-Montjuïc. Barcelona Capital),Barcelona Capital,41.374742707,2.136297348,"Vivienda exclusiva con encanto y entrada independiente en el corazón de Sants. Ubicada en la calle Olzinelles, esta vivienda única combina a la perfección el carácter de la arquitectura tradicional con un diseño contemporáneo y acabados de alta calidad. Un piso pensado para quienes valoran los espacios con alma, el confort y una ubicación privilegiada. La propiedad conserva elementos originales que aportan personalidad y calidez, como las vigas vistas, paredes de tocho original y suelos hidráuli...",False,False,False,False,False,False,G,Más de 50 años,,OPENLLAR SERVEIS IMMOBILIARIS,Agencia,24.0,https://www.pisos.com/comprar/piso-sants_montjuic_sants08014-60842215167_100500/,2026-04-05,2026-04-05 12:23:47.224253,Barcelona,75.0,0.0,1,False,False,12.886641043883259,8.529931710864425,4.356708826689592,3.132334798005486,612
62549098278.100494,Piso en venta en Avinguda de la Diagonal,Piso,360000.0,3913.04,92.0,4.0,2.0,5ª,True,Gavà,Les Bòbiles-Avinguda Diagonal-Les Colomeres,Les Bòbiles-Avinguda Diagonal-Les Colomeres (Gavà),Gavà,41.304799565,1.998428644,"Te presentamos una oportunidad cada vez más difícil de encontrar en Gavà, en plena Diagonal: un piso amplio, luminoso y con una distribución excelente, ideal para familias o compradores que buscan espacio, comodidad y potencial de revalorización. La vivienda cuenta con 4 habitaciones, lo que la convierte en una opción perfecta para quienes necesitan más de tres dormitorios o desean combinar vivienda y despacho. Dispone de un baño completo y un aseo, una distribución funcional y bien aprovechada,...",False,True,False,False,False,False,E,,,OPENLLAR SERVEIS IMMOBILIARIS,Agencia,57.0,https://www.pisos.com/comprar/piso-les_bobiles_avinguda_diagonal_les_colomeres-62549098278_100500/,2026-04-05,2026-04-05 12:23:50.326277,Barcelona,40.0,5.0,3,False,False,12.793859310432293,8.272069844493968,4.5217885770490405,16.99753462269548,12
59221556175.328705,Casa en venta en Carrer de Barcelona,Casa,80000.0,503.14,159.0,5.0,1.0,,False,,Cervera,Cervera,Cervera,41.664932858,1.27229769,"Casa de 159 m² distribuida en planta baja, dos plantas superiores y una buhardilla. La planta baja, de 53 m², cuenta con una entrada de piedra con mucho encanto y una bodega ideal para almacenaje o para crear un espacio rústico y acogedor. En la primera planta encontramos tres habitaciones y un baño muy práctico. En la segunda planta dispone de dos habitaciones adicionales, un baño con plato de ducha, un comedor y una cocina funcional. Por último, la buhardilla ofrece un espacio extra para adapt...",,,,,,,,Más de 50 años,A reformar,Fincombat,Agencia,19.0,https://www.pisos.com/comprar/casa-cervera_centro_urbano-59221556175_328700/,2026-04-05,2026-04-05 12:23:52.330029,Lleida,75.0,2.0,0,False,False,11.289781913656018,6.220868461393006,5.0689042022202315,80.87620091294025,36
60005499392.106705,Dúplex en venta en La Seu D'Urgell,Duplex,295000.0,3314.61,89.0,3.0,2.0,,True,,La Seu d'Urgell,La Seu d'Urgell,La Seu d'Urgell,42.360656112,1.46188952,"Óptima Inmobiliaria os presenta Apartamento de 66,04 m² útiles con una terraza de 7,29 m². El apartamento está distribuido en dos habitaciones con armarios empotrados, una amplia zona de día con cocina abierta, sala de estar-comedor con salida a una espectacular terraza de forma rectangular. Incorpora también una zona de lavandería independiente. Posibilidad de personalización de los acabados: cocina, cerámicas con materiales de primeras marcas. Plazas de aparcamiento a partir de 14.900€ y trast...",,,,,,,,,,ÒPTIMA IMMOBILIÀRIA,Agencia,7.0,https://www.pisos.com/comprar/duplex-la_seu_urgell_centro_urbano-60005499392_106700/,2026-04-05,2026-04-05 12:23:55.935709,Lleida,25.0,2.0,0,False,False,12.594730635321957,8.106095248640182,4.48863636973214,123.12438020968598,74
55920565580.1018,"Apartamento en venta en Carrer Frederic Mistral, 6",Apartamento,445000.0,5933.33,75.0,2.0,2.0,Bajo,True,Vielha e Mijaran,Vielha,Vielha (Vielha e Mijaran),Vielha e Mijaran,42.6997,0.79529,"Engel & Völkers les presenta esta magnífica propiedad situada en el corazón del casco antiguo de Vielha, capital del emblemático Valle de Arán, a escasos pasos del pintoresco Riu Nere y de la iglesia románica de Sant Miquèu. Una ubicación privilegiada que combina historia, autenticidad y comodidad. Esta elegante planta baja ha sido completamente renovada en 2023, combinando funcionalidad contemporánea con una estética cálida y refinada. La vivienda se distribuye en una única planta y dispone de ...",,,,,,,,Entre 10 y 20 años,,Engel & Völkers Lleida - Val d´Aran,Agencia,16.0,https://www.pisos.com/comprar/apartamento-vielha-55920565580_101800/,2026-04-05,2026-04-05 12:23:56.923493,Lleida,15.0,0.0,0,False,False,13.005829561148378,8.688340885814156,4.31748811353631,184.9122935334641,42
56732919807.1018,"Dúplex en venta en Calle Carrèr Dera Laca, Número 13",Duplex,290000.0,3222.22,90.0,3.0,2.0,Bajo,False,,Es Bòrdes,Es Bòrdes,Es Bòrdes,42.7378,0.720506,"Este encantador dúplex con entrada independiente se distribuye en dos plantas más buhardilla, ofreciendo un espacio funcional y acogedor para toda la familia. En la planta baja encontramos un recibidor que da acceso a un baño completo y a una cocina totalmente equipada. Una puerta interior separa esta zona del amplio salón-comedor, que cuenta con chimenea, creando un ambiente cálido y confortable. Desde el salón también se accede a un práctico cuarto trastero. La planta superior dispone de dos d...",,,,,,,,Entre 10 y 20 años,,Engel & Völkers Lleida - Val d´Aran,Agencia,25.0,https://www.pisos.com/comprar/duplex-es_bordes_centro_urbano-56732919807_101800/,2026-04-05,2026-04-05 12:23:57.719792,Lleida,15.0,0.0,0,False,False,12.577636201962656,8.077825841976981,4.499809670330265,192.0380360513929,4
59211356111.51034,Piso en venta en Calle Juan de La Cierva,Piso,266000.0,3129.41,85.0,3.0,2.0,Bajo,False,Granollers,L'Hostal-Lledoner,L'Hostal-Lledoner (Granollers),Granollers,41.6138395,2.2933909,"¡Descubre esta espectacular PLANTA BAJA de obra nueva en venta en Granollers! Esta acogedora vivienda de 80 m² te ofrece todo lo que necesitas para disfrutar de una vida cómoda y moderna. Con 3 habitaciones, incluyendo una suite doble, y 2 baños equipados con platos de ducha, cada rincón ha sido diseñado para maximizar el confort. La cocina americana, completamente equipada, se integra a la perfección con el luminoso comedor que da acceso a una pequeña terraza de 8 m², ideal para relajarte al ai...",True,False,False,True,False,False,D,Menos de 5 años,A estrenar,VIURE A GRANOLLERS,Agencia,14.0,https://www.pisos.com/comprar/piso-hostal_lledoner08402-59211356111_510334/,2026-04-05,2026-04-05 12:24:00.113413,Barcelona,2.5,0.0,4,False,False,12.491251587763836,8.048599767363585,4.442651256490317,27.23316638490431,46
526573188.501464,Casa en venta en Calle Partida San Bernabe,Casa,191000.0,616.13,310.0,4.0,2.0,,False,Tortosa,Jesús-Els Reguers,Jesús-Els Reguers (Tortosa),Tortosa,40.826507542,0.50960534,"En venta esta espectacular casa en Tortosa, ubicada en la zona de Jesús-Els Reguers. La propiedad cuenta con una superficie total de 309,9 m², distribuidos en una superficie solar de 22893 m² y una superficie útil de 271,16 m². Dispone de 1 habitación individual, 3 habitaciones dobles (una de ellas en suite) y 2 baños. Con una antigüedad entre 10 y 20 años, esta casa en buen estado ofrece comodidades como armarios empotrados, calefacción, cocina equipada, garaje, jardín, terraza de 21 m² y siste...",,,,,,,,Entre 10 y 20 años,En buen estado,"HABITATGES L´ ALDEA, S.L.",Agencia,12.0,https://www.pisos.com/comprar/casa-jesus_els_reguers-526573188_501464/,2026-04-05,2026-04-05 12:24:02.654477,Tarragona,15.0,2.0,0,False,False,12.160028707028767,6.42345798022897,5.736572297479192,152.44123879590373,93
61705596496.501595,Casa en venta en Carrer de les Guilleries,Casa,250000.0,1785.71,140.0,3.0,2.0,,False,,Maçanet de la Selva,Maçanet de la Selva,Maçanet de la Selva,41.77522742876983,2.699185900499609,"Esta encantadora casa en Maçanet de la Selva se destaca por su tranquilidad e intimidad, superficie total de 140 m², distribuidos en una parcela de 728 m².Vivienda principal consta de 2 habitaciones individuales y 1 habitación doble, baño con bañera, amplia cocina equipada, hall recibidor y salón comedor, aire acondicionado, calefacción a gas natural y un amplio jardín privado. La casa se encuentra en buen estado de conservación, lista para habitar. Cuenta con una construcción anexa independient...",True,False,True,True,True,True,F,Entre 30 y 50 años,En buen estado,BLANES HOUSE,Agencia,35.0,https://www.pisos.com/comprar/casa-macanet_de_la_selva_centro_urbano-61705596496_501585/,2026-04-05,2026-04-05 12:24:03.339850,Girona,40.0,2.0,2,False,False,12.429216196844383,7.487571374232199,4.941642422609304,61.64542534594074,82
